12:23:09.240,19-09-07,0001247624,USBWrite,usbWriteTaskEntry: write failed(0!=77).
12:23:12.020,19-09-07,0001247902, USBREAD,TI_CN_TR_Reset: Transmit Pipe reset!
12:23:07.682,19-09-07,0001247924, TSK002E,TI_NN_Login(): username and password invalid.
12:23:12.172,19-09-07,0001248373,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
12:23:12.182,19-09-07,0001248374,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
12:23:12.192,19-09-07,0001248375, TSK002F,WS_IO_StreamListen(): TI_CN_ERR_STREAM_DISCONNECT on node 100.0
12:23:12.192,19-09-07,0001248375,sm_Conne,DestroyStreamListener(): freeing (119D23B4)
12:23:14.295,19-09-07,0001248569, TSK002E,TI_NN_Login(): username and password invalid.
14:01:14.025,19-09-07,0001821842,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
14:01:14.035,19-09-07,0001821843,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
14:01:14.035,19-09-07,0001821843, TSK002F,WS_IO_StreamListen(): TI_CN_ERR_STREAM_DISCONNECT on node 100.0
14:01:14.045,19-09-07,0001821844,sm_Conne,DestroyStreamListener(): freeing (119D30D4)
16:56:07.555,19-09-07,0001824995,USBWrite,Datagram write error: 1!
16:56:07.555,19-09-07,0001824995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:56:23.555,19-09-07,0001826495,USBWrite,Datagram write error: 1!
16:56:23.555,19-09-07,0001826495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:56:38.555,19-09-07,0001827995,USBWrite,Datagram write error: 1!
16:56:38.555,19-09-07,0001827995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:56:53.555,19-09-07,0001829495,USBWrite,Datagram write error: 1!
16:56:53.555,19-09-07,0001829495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:57:09.555,19-09-07,0001830995,USBWrite,Datagram write error: 1!
16:57:09.555,19-09-07,0001830995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:57:24.555,19-09-07,0001832495,USBWrite,Datagram write error: 1!
16:57:24.555,19-09-07,0001832495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:57:39.555,19-09-07,0001833995,USBWrite,Datagram write error: 1!
16:57:39.555,19-09-07,0001833995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:57:55.555,19-09-07,0001835495,USBWrite,Datagram write error: 1!
16:57:55.555,19-09-07,0001835495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:58:10.555,19-09-07,0001836995,USBWrite,Datagram write error: 1!
16:58:10.555,19-09-07,0001836995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:58:26.555,19-09-07,0001838495,USBWrite,Datagram write error: 1!
16:58:26.555,19-09-07,0001838495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:58:41.555,19-09-07,0001839995,USBWrite,Datagram write error: 1!
16:58:41.555,19-09-07,0001839995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:58:56.555,19-09-07,0001841495,USBWrite,Datagram write error: 1!
16:58:56.555,19-09-07,0001841495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:59:12.555,19-09-07,0001842995,USBWrite,Datagram write error: 1!
16:59:12.555,19-09-07,0001842995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:59:27.555,19-09-07,0001844495,USBWrite,Datagram write error: 1!
16:59:27.555,19-09-07,0001844495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:59:43.555,19-09-07,0001845995,USBWrite,Datagram write error: 1!
16:59:43.555,19-09-07,0001845995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
16:59:58.555,19-09-07,0001847495,USBWrite,Datagram write error: 1!
16:59:58.555,19-09-07,0001847495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:00:13.555,19-09-07,0001848995,USBWrite,Datagram write error: 1!
17:00:13.555,19-09-07,0001848995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:00:29.555,19-09-07,0001850495,USBWrite,Datagram write error: 1!
17:00:29.555,19-09-07,0001850495,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:00:44.555,19-09-07,0001851995,USBWrite,Datagram write error: 1!
17:00:44.555,19-09-07,0001851995,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:00:59.575,19-09-07,0001853497,USBWrite,Datagram write error: 1!
17:00:59.575,19-09-07,0001853497,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:01:15.575,19-09-07,0001854997,USBWrite,Datagram write error: 1!
17:01:15.575,19-09-07,0001854997,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:01:30.575,19-09-07,0001856497,USBWrite,Datagram write error: 1!
